MemberNo,TransactionDate,Comments, Amount ,,,,,
58,10/01/2018,Monthly Allowance, 300.00 ,,,,,
1587,08/01/2018,Driving Lessons," 4,000.00 ",,,,,
1588,08/01/2018,Uniform, 862.00 ,,,,,
1649,08/01/2018,School Related Expenses," 2,740.00 ",,,,,
1595,08/01/2018,School Fees Deposit Refunded," 2,000.00 ",,,,,
1595,08/01/2018,School Related Expenses," 13,300.00 ",,,,,
1051,08/01/2018,School Related Expenses," 1,400.00 ",,,,,
309,08/01/2018,School Related Expenses," 1,660.00 ",,,,,
1386,08/01/2018,School Related Expenses," 7,774.64 ",,,,,
1589,08/01/2018,School Related Expenses, 563.00 ,,,,,
1627,08/01/2018,School Related Expenses," 1,500.00 ",,,,,
823,08/01/2018,School Related Expenses," 5,956.00 ",,,,,
187,08/01/2018,Personal Expenses," 2,907.78 ",,,,,
1133,08/01/2018,School Related Expenses," 5,986.50 ",,,,,
1128,08/01/2018,School Related Expenses," 5,986.50 ",,,,,
1391,14/12/2017,School Fee/ Exam," 5,020.00 ",,,,,
1391,14/12/2017,Transport/ Lunch," 5,670.00 ",,,,,
1625,15/12/2017,School Fees," 1,011.00 ",,,,,
1624,15/12/2017,School Fees," 1,011.00 ",,,,,
1621,15/12/2017,School Fees," 1,011.00 ",,,,,
1587,13/11/2017,Clothes ," 1,000.00 ",,,,,
1588,13/11/2017,Clothes ," 1,000.00 ",,,,,
1589,13/11/2017,Clothes ," 1,000.00 ",,,,,
1630,12/12/2017,School Requisites," 1,435.00 ",,,,,
1629,12/12/2017,School Requisites," 1,460.00 ",,,,,
1628,12/12/2017,School Requisites," 1,460.00 ",,,,,
1658,11/12/2017,Special Request/Clothing," 2,000.00 ",,,,,
1658,11/12/2017,School Fees 2018," 3,000.00 ",,,,,
633,11/12/2017,School Fees & Uniform," 15,473.90 ",,,,,
886,11/12/2017,School Related Requirements," 1,704.95 ",,,,,
844,11/12/2017,School Related Requirements," 1,725.91 ",,,,,
860,11/12/2017,School Related Requirements," 1,885.91 ",,,,,
870,11/12/2017,School Related Requirements," 5,239.92 ",,,,,
187,11/12/2017,Rent & Food," 2,000.00 ",,,,,
1020,11/12/2017,School Related Expenses," 9,200.00 ",,,,,
1605,11/12/2017,School Fees & Pocket Money, 437.75 ,,,,,
1604,11/12/2017,School Fees & Pocket Money, 800.00 ,,,,,
1593,05/12/2017,Sutenance, 365.00 ,,,,,
1592,05/12/2017,Sustenance, 365.00 ,,,,,
1591,05/12/2017,Sustenance, 365.00 ,,,,,
1550,05/12/2017,School Fees & Uniform," 10,680.00 ",,,,,
1508,05/12/2017,University Registration," 5,000.00 ",,,,,
628,04/12/2017,Clothing," 1,929.05 ",,,,,
1648,30/11/2017,SEC Units, 200.00 ,,,,,
1648,28/11/2017,Sustenance Allowance, 800.00 ,,,,,
1615,28/11/2017,School Transport," 6,300.00 ",,,,,
710,27/11/2017,Clothes," 3,929.74 ",,,,,
736,27/11/2017,Clothes," 1,085.90 ",,,,,
741,27/11/2017,Clothes," 1,369.89 ",,,,,
1576,20/11/2017,Uniforms, 863.98 ,,,,,
1575,20/11/2017,Uniforms, 65.99 ,,,,,
1574,20/11/2017,Uniforms, 65.00 ,,,,,
1573,20/11/2017,Uniforms, 85.99 ,,,,,
1562,14/11/2017,Transport & Living Expenses, 900.00 ,,,,,
1588,13/11/2018,As at 13/11/2017," 1,000.00 ",,,,,
1587,13/11/2018,As at 13/11/2017," 1,000.00 ",,,,,
1589,13/11/2018,As at 13/11/2017," 1,000.00 ",,,,,
1615,10/11/2017,Graduation Ceremony & Fees," 5,620.00 ",,,,,
633,10/11/2017,U-TECH Entry Deposit," 1,100.00 ",,,,,
1595,01/11/2017,Clearing School Fees Balance," 2,854.00 ",,,,,
187,31/10/2017,Urgent Needs," 3,650.00 ",,,,,
870,30/10/2017,School Fees Balance," 2,161.00 ",,,,,
187,26/10/2017,Food & Rent," 1,940.00 ",,,,,
1576,26/10/2017,"School Shoes, Soaps & School Closing Festivities"," 1,890.00 ",,,,,
1575,26/10/2017,"School Shoes, Soaps & School Closing festivities", 412.50 ,,,,,
1574,26/10/2017,School Shoes & Graduating outfit, 772.50 ,,,,,
1573,26/10/2017,"School Shoes, Soaps & School Closing festivities", 352.50 ,,,,,
1644,26/10/2017,Various Sustenance Related Payments," 1,859.55 ",,,,,
520,20/10/2017,Uniforms, 806.00 ,,,,,
1597,19/10/2017,Clothing," 1,500.00 ",,,,,
1670,13/10/2017,Limkokwing Fees," 5,025.00 ",,,,,
1615,11/10/2017,Attachment Fees," 9,000.00 ",,,,,
1051,10/10/2017,Uniform Requirements," 1,379.94 ",,,,,
1615,05/10/2017,School Related Requirements," 1,200.00 ",,,,,
1615,05/10/2017,Study Permit," 5,530.00 ",,,,,
